pi_b_ist,rel_std_dev,name
5.02,5.02,ZZR1
27.511,27.51,FV1
10.937,10.94,FS1
-0.078,-0.08,MX2
5.782,5.78,MYR2
3.733,3.73,XXR2
-0.966,-0.97,XY2
0.863,0.86,XZ2
-0.879,-0.88,YZ2
7.301,7.3,ZZR2
30.154,30.15,FV2
13.619,13.62,FS2
-0.071,-0.07,MX3
0.06,0.06,MYR3
1.363,1.36,XXR3
-0.983,-0.98,XY3
-0.38,-0.38,XZ3
-0.101,-0.1,YZ3
1.102,1.1,ZZR3
10.44,10.44,FV3
6.894,6.89,FS3
0.016,0.02,MX4
2.244,2.24,MYR4
2.019,2.02,XXR4
-0.345,-0.35,XY4
0.114,0.11,XZ4
0.38,0.38,YZ4
1.585,1.59,ZZR4
17.599,17.6,FV4
7.466,7.47,FS4
0.017,0.02,MX5
0.077,0.08,MYR5
-0.005,-0.01,XXR5
-0.098,-0.1,XY5
-0.2,-0.2,XZ5
-0.027,-0.03,YZ5
0.046,0.05,ZZR5
6.179,6.18,FV5
6.904,6.9,FS5
0.049,0.05,MX6
0.112,0.11,MYR6
0.521,0.52,XXR6
-0.064,-0.06,XY6
0.132,0.13,XZ6
-0.015,-0.02,YZ6
0.408,0.41,ZZR6
2.617,2.62,FV6
3.093,3.09,FS6
-0.005,-0.01,MX7
-0.029,-0.03,MY7
-0.042,-0.04,XXR7
0.05,0.05,XY7
-0.05,-0.05,XZ7
-0.166,-0.17,YZ7
0.262,0.26,ZZR7
2.785,2.79,FV7
3.169,3.17,FS7
