step,meas,filtered,pi_b,mu
0.01,-10.4447740219011,2.83926257003856,0.473683394973394,-0.01046936934
0.05,-4.11216990428053,2.97611045876056,0.801239927182378,-0.128115510707331
0.09,0.153876886610841,4.11630195540171,1.87092508258011,0.482149031518783
0.13,10.6356685980549,6.09699586268618,4.09866525691205,1.9082889041419
0.17,12.1113588449019,8.53667842052307,8.01489492126423,4.4553272784561
0.21,10.5832855317551,10.9501765227938,14.768635496154,10.7410037714906
0.25,12.4052951062006,12.8954422044272,16.0208589842998,15.1238555750415
0.29,13.2739163899863,14.1021871103025,15.5988974741429,15.158983066225
0.33,16.3613826735227,14.5396542098225,15.3163595520158,15.1011946711679
0.37,12.3191157052639,14.4033080164522,15.3644801782559,15.3140952846901
0.41,16.176032925837,14.0293633701379,15.6095472963831,15.600726954407
0.45,10.0261877180273,13.7709010335412,16.0348108089587,15.9098548311435
0.49,15.8905199463309,13.880833864988,16.6035442378021,16.2667506548502
0.53,20.0361478232472,14.4415334185853,17.2777102854731,16.7131293334029
0.57,23.2910229186491,15.36139123924,18.0034164836726,17.2779351124969
0.61,25.231892862654,16.4330130188681,18.7345435966665,17.9532455790419
0.65,23.6359947455896,17.4259921689776,19.462370828003,18.7016631379204
0.69,13.4099221343635,18.1771001595363,20.2127424563636,19.4867538852365
0.73,18.0604570551719,18.645169387584,21.0187624043202,20.2964158626008
0.77,22.610150124429,18.9141302400056,21.9075661074342,21.1362279652271
0.81,11.8233219505891,19.1485583274672,22.8637032977817,22.0253895259534
0.85,18.3322947421789,19.5234191898036,24.1239546637989,23.0693963620993
0.89,21.84112720803,20.1572288104117,25.013640383594,23.928537113683
0.93,19.3967889156753,21.0736075230795,25.9762666147155,24.9469135267882
0.97,19.8913667474014,22.2028906924824,27.0879689489065,26.0832791278447
1.01,23.8851677433082,23.4190029241546,28.3157346361404,27.2878403487473
1.05,25.0437975358027,24.5937995861745,29.6253324866774,28.5494351137985
1.09,25.4354876564079,25.6461887949954,30.9951211743972,29.8738482799582
1.13,37.5690891889205,26.5676688423318,32.4128961603412,31.2633272352444
1.17,26.8785454810502,27.4168951828593,33.8725714845184,32.7116983606204
1.21,19.5918054613403,28.2886443968067,35.3724661766425,34.2095676149487
1.25,29.4521218301599,29.2719637049401,36.9131282714369,35.7503038449211
1.29,32.7782799400434,30.4150487597302,38.494575429856,37.3315289805459
1.33,33.1897790511495,31.7100391790099,40.1145716517814,38.9526917439464
1.37,33.5344704776858,33.1018154990643,41.7687546539702,40.612126363806
1.41,43.8375843943792,34.5150057382579,43.4518220487484,42.3059156091066
1.45,34.7955977181627,35.8866896685354,45.1585531964005,44.0284993567447
1.49,41.3794403735909,37.1910819886149,46.8841494490108,45.773789361091
1.53,31.9697162816043,38.4467991334244,48.6241068513671,47.5358676221621
1.57,36.9129592017621,39.7050351459203,50.3740022063509,49.3091194343775
1.61,41.698037112035,41.024801083472,52.1293826371783,51.0880822966692
1.65,33.8603375137855,42.4462297178762,53.8857696439032,52.8673026730908
1.69,56.6898677698906,43.9730948200724,55.6387333336883,54.6413325151518
1.73,36.9625053146835,45.571363005868,57.3839942145893,56.4048531591177
1.77,47.9787175135515,47.18373937647,59.1175159462043,58.1528462016989
1.81,52.2790591741078,48.7536230306803,60.8355644948044,59.8807358908249
1.85,47.0220191594381,50.2482405435396,62.5347310175817,61.5844730190229
1.89,61.8191468589104,51.6713253415157,64.2119327698531,63.260573261561
