step,pi_b,mu
0.01,1.34680184582286,0.825351517378009
0.05,1.54117152861173,0.276059796638769
0.09,1.63098214174644,0.351378877703625
0.13,1.32962949331855,0.0152307388481598
0.17,0.276123038435104,-1.05222774975119
0.21,-0.512325474074719,-0.815884953703236
0.25,-0.174718884860329,-0.380675681039999
0.29,-0.0214690905545911,-0.260637500065966
0.33,-0.0896895637060684,-0.369713091157447
0.37,-0.351549342478781,-0.592273388120518
0.41,-0.535520860948903,-0.814300773409434
0.45,-0.644239175219714,-0.955860765375512
0.49,-0.659950067031779,-0.986770932896998
0.53,-0.595788322220427,-0.92649061300434
0.57,-0.500645382377548,-0.829080685388124
0.61,-0.433626164014043,-0.756940338457577
0.65,-0.43688936539793,-0.754795340220549
0.69,-0.519417501968153,-0.833641925990444
0.73,-0.656577913842076,-0.969827874600398
0.77,-0.756439834780354,-1.11687055925736
0.81,-0.936641860109269,-1.23076998841236
0.85,-1.00099805017666,-1.26009809794363
0.89,-1.02630554570417,-1.27573979253372
0.93,-0.99206203343387,-1.23067930397207
0.97,-0.920545905504428,-1.15578473412973
1.01,-0.853468148260627,-1.08822794013345
1.05,-0.817084117483116,-1.05075013144103
1.09,-0.818112937298372,-1.04840936843019
1.13,-0.849598060869775,-1.07356153635503
1.17,-0.900244636599582,-1.11476543989179
1.21,-0.962496701615657,-1.16460862253289
1.25,-1.03561844296353,-1.22259367514501
1.29,-1.1227558128264,-1.29209026572164
1.33,-1.22419275951362,-1.37357912030182
1.37,-1.33111591894618,-1.45846018212502
1.41,-1.42407858000897,-1.5275613491627
1.45,-1.47801942323106,-1.55617771659727
1.49,-1.47225005635785,-1.52405945471155
1.53,-1.40095127380617,-1.42589973539169
1.57,-1.27886669066977,-1.27701601873851
1.61,-1.13860630936055,-1.11063633839456
1.65,-1.01962945622604,-0.966859641405991
1.69,-0.952967043189124,-0.877352444269097
1.73,-0.948196770008093,-0.852298556455712
1.77,-0.988810529305503,-0.875743162316375
1.81,-1.03883653108031,-0.912194623155426
1.85,-1.05866295098274,-0.922431301146178
1.89,-1.02357622860282,-0.882027004563073
1.93,-0.936653873767852,-0.794235074081058
1.97,-0.829431867588601,-0.690650864481332
2.01,-0.777434830669517,-0.597465765214817
2.05,-0.717527188476961,-0.600567507550007
2.09,-0.747240261704342,-0.68121981392897
2.13,-0.822449797102641,-0.804780399681881
2.17,-0.861251841832798,-0.970115712630802
2.21,-0.976011199167352,-0.972412863715525
2.25,-0.905063405053017,-0.847570363809655
2.29,-0.654564245810404,-0.600533757513629
2.33,-0.320586127305922,-0.300908196607685
2.37,-0.0534437146720483,-0.0795612395970329
2.41,-0.0198608583820423,-0.0925667573722642
2.45,-0.353405477375251,-0.468619792947738
2.49,-1.10790055701145,-1.26001425874385
2.53,-2.23109087172564,-2.41460818699875
2.57,-1.18995493126563,-1.41892761543873
2.61,1.23108242871297,1.03499588118041
2.65,0.704482035565039,0.66956973440833
2.69,-0.213890344813563,-0.23819652991375
2.73,-0.705741390546831,-0.738498063174529
2.77,-0.7507581359704,-0.795716943802574
2.81,-0.505830346221678,-0.564960401207379
2.85,-0.168552383408109,-0.242591222920734
2.89,0.0929301395054241,0.00434960460718248
2.93,0.185735619443571,0.0837110152297469
2.97,0.10769671063927,-0.00628918961708225
3.01,-0.0700308742488209,-0.194306464884924
3.05,-0.244627122924403,-0.377382307956044
3.09,-0.330316814377454,-0.469564118846691
3.13,-0.294962355445086,-0.438467812358303
3.17,-0.170884585872482,-0.316109554896176
3.21,-0.0369977447513556,-0.181071703070524
3.25,0.0189937626753283,-0.120735661737876
3.29,-0.0583451544156413,-0.190255604010127
3.33,-0.265604765927266,-0.386010348933455
3.37,-0.539965259240567,-0.645058793191396
3.41,-0.785201494984426,-0.871158414308985
3.45,-0.913542800101759,-0.976631991048755
3.49,-0.885693144730664,-0.922388526770317
3.53,-0.731549538411286,-0.738637160940165
3.57,-0.541639157928667,-0.516315449576157
3.61,-0.431131220685624,-0.371088651267018
3.65,-0.489754177042672,-0.393251178241743
3.69,-0.737397627524023,-0.603310439642141
3.73,-1.10386255982897,-0.931717754476313
3.77,-1.4424656762116,-1.23245322091432
3.81,-1.57431316915043,-1.32728080322283
3.85,-1.34805659836279,-1.06548691320562
3.89,-0.678813108185251,-0.360204097957185
3.93,0.335530853248173,0.688264848385195
3.97,0.109804612710668,0.579629382808051
4.01,-0.81653097867087,-0.278599925138367
4.05,-2.30172650565304,-2.01545949093337
4.09,-1.58462694557879,-1.43765239369429
4.13,-0.82518597575188,-0.658921906550598
4.17,-0.437767829207313,-0.243624579068868
4.21,-0.279210168062301,-0.0741707666936779
4.25,-0.47930058592725,-0.242122487415047
4.29,-0.534096484443198,-0.302540914644718
4.33,-0.508944658733697,-0.298634148433515
4.37,-0.469526199653354,-0.279608457183118
4.41,-0.431715737930514,-0.264051765349347
4.45,-0.401852420222042,-0.257790101725313
4.49,-0.369177346227512,-0.249370686954154
4.53,-0.304476942394881,-0.209280750021467
4.57,-0.174412476199947,-0.104843819884259
4.61,0.032476912667097,0.0708015721308368
4.65,0.276345062273416,0.288731538975513
4.69,0.48809791986071,0.46693369926243
4.73,0.50594168988207,0.503734711699642
4.77,0.296162463963387,0.181704984571293
4.81,-0.35714778604783,-0.517827480641932
4.85,-1.35104924704625,-1.55366394892035
4.89,-2.17779470447445,-2.82550870355904
4.93,-0.83860532728612,-2.00290839393362
4.97,1.21112069922301,0.652537303898232
5.01,0.763894633770298,0.749290249535014
5.05,0.0295779460136716,-0.00398171699044081
5.09,-0.309921959610822,-0.431322066617941
5.13,-0.203300280196589,-0.404704535620954
5.17,0.157530582757406,-0.105462952258836
5.21,0.450469436399141,0.125117925950706
5.25,0.677413586964886,0.308560969963961
5.29,0.775874583107778,0.372506530077572
5.33,0.784867592809909,0.342540697316514
5.37,0.752931261444536,0.281721245668989
5.41,0.674723763233496,0.182939668910452
5.45,0.742225487231323,0.201654747429252
5.49,0.934855980347733,0.325106969021134
5.53,1.13884135034451,0.485721135691374
5.57,1.31387559336881,0.634764820254695
5.61,1.42928131103883,0.732871559470564
5.65,1.47212415232776,0.763397554980654
5.69,1.45433065445139,0.737227409830677
5.73,1.40848062208423,0.6871270815261
5.77,1.37393214413715,0.653316284255564
5.81,1.38068320754253,0.666959784779757
5.85,1.43808854880126,0.738380368565027
5.89,1.53275531302563,0.854537706874134
5.93,1.63558601283099,0.985995831261477
5.97,1.71423426689391,1.09958711437023
6.01,1.74551819392559,1.17103472502749
6.05,1.72299955820917,1.19258837788968
6.09,1.65738130885544,1.17342085036047
6.13,1.5704477813592,1.13365244291821
6.17,1.48569576269263,1.09515583531083
6.21,1.4196778190268,1.07307192874667
6.25,1.37723668288487,1.07115784203332
6.29,1.35183190996796,1.08217300991404
6.33,1.33001751221048,1.09237896131538
6.37,1.29770331601616,1.08778543032325
6.41,1.24556744387938,1.05950596759441
6.45,1.17178620965704,1.00639665488386
6.49,1.08160648134413,0.93452009237448
6.53,0.984565561216145,0.854257488089422
6.57,0.890874492522576,0.776598157794663
6.61,0.808454271396664,0.710104620972175
6.65,0.741514418125351,0.65944754357737
6.69,0.690753461078789,0.625591161317733
6.73,0.654612774379793,0.607058005299433
6.77,0.630751107352416,0.601434474510524
6.81,0.617039871457212,0.60640956451584
6.85,0.611756653445767,0.620016074693813
6.89,0.613065564763404,0.640155822662558
6.93,0.61815355085557,0.663772907401248
6.97,0.622479216649444,0.686128792058608
7.01,0.619515961501742,0.700560285104972
7.05,0.617773886849073,0.698939350168339
7.09,0.564171268227297,0.673596732417091
7.13,0.489389468499963,0.622911760349671
7.17,0.386582624694721,0.536497967652106
7.21,0.239529549912675,0.416825405205256
7.25,0.0809616529205544,0.27366564096283
7.29,-0.106119336864273,0.127750538121697
7.33,-0.282756587710169,-0.0613562667935037
7.37,-0.436096647225583,-0.234362071245866
7.41,-0.551700764410756,-0.353280318801175
7.45,-0.630782487865117,-0.424150996767553
7.49,-0.681643954870429,-0.460272455849745
7.53,-0.717525994391586,-0.479005208200565
7.57,-0.753863111599982,-0.498565770648005
7.61,-0.804065895568908,-0.533910662848904
7.65,-0.874823457206651,-0.592477499379483
7.69,-0.963359687189743,-0.671733934632154
7.73,-1.05795421332922,-0.759989543631545
7.77,-1.14194459914944,-0.840548893600785
7.81,-1.1998898231105,-0.897952989612731
7.85,-1.22361787324899,-0.924047830616729
7.89,-1.20520037860356,-0.908579618231938
7.93,-1.1590288754904,-0.870997441795358
7.97,-1.15175938211156,-0.876763054000328
8.01,-1.15533202750014,-0.896576720696722
8.05,-1.17731923183127,-0.936420877602243
8.09,-1.21761984048167,-0.997314024995735
8.13,-1.26662432951595,-1.06788469204009
8.17,-1.27422918585155,-1.10472136685261
8.21,-1.43549842585602,-1.26860811746534
8.25,-1.33114364848552,-1.2179385915414
8.29,-1.23751131989756,-1.16859098913068
8.33,-1.15472371984899,-1.12605651293402
8.37,-1.0884704868747,-1.0964942570874
8.41,-1.03850837765515,-1.08586879556258
8.45,-1.00614634101025,-1.0947578927154
8.49,-0.985120949809161,-1.11630135622663
8.53,-0.962722070943004,-1.13671681459155
8.57,-0.913939754861571,-1.13439106142669
8.61,-0.859774348738323,-1.12498180946399
8.65,-0.785039323213477,-1.09112273607779
8.69,-0.74007597273179,-1.09369917728158
8.73,-0.650620897357096,-1.00736300655255
8.77,-0.536819705511016,-0.939631608353098
8.81,-0.448001257335986,-0.901977007963208
8.85,-0.378264702435636,-0.878720466936165
8.89,-0.309651764899346,-0.849504792540603
8.93,-0.22711462092231,-0.799628737068427
8.97,-0.128587048624519,-0.727987099444784
9.01,-0.0287085461259284,-0.649908408271189
9.05,0.0452849291784929,-0.592785745749111
9.09,0.0647638827025308,-0.584987078518798
9.13,0.0137472631727826,-0.641992040212911
9.17,-0.100414115475242,-0.755858925497908
9.21,-0.24536306599656,-0.893644623055098
9.25,-0.373435339038079,-1.00717049969809
9.29,-0.440240089410943,-1.05166209297118
9.33,-0.425193254366486,-1.00632124954933
9.37,-0.36151869627746,-0.871865755867648
9.41,-0.211049574600079,-0.744429325722077
9.45,-0.0212116682377097,-0.627980659555773
9.49,-0.165475262083923,-0.690467223969414
9.53,-0.543061305847075,-0.880067149984725
9.57,-0.950726417238532,-1.15157773341295
9.61,-1.30636682921088,-1.41462459810244
9.65,-1.49609213604925,-1.53428765858074
9.69,-1.39512188275719,-1.37169195616276
9.73,-0.916473021552207,-0.833019526078089
9.77,-0.0500905868723756,0.0939122930947001
9.81,1.12264304402032,1.32726866923783
9.85,1.12375429173898,1.50847172650163
9.89,-0.964723918665716,-0.197136678629822
9.93,-1.91963392748762,-1.67965884229759
9.97,-1.13878910412695,-0.983847676962959
10.01,-0.583848024394201,-0.401039888982596
10.05,-0.400668728691603,-0.177651210532151
10.09,-0.463048631820287,-0.207195713093414
10.13,-0.610495825858236,-0.333494425845159
10.17,-0.714201405337143,-0.427626100899268
10.21,-0.705539904308929,-0.419707265409011
10.25,-0.580815646234222,-0.304331170795401
10.29,-0.385378453451353,-0.124937735250826
10.33,-0.185007979245241,0.0545420934928855
10.37,-0.0359866061654612,0.179536081646536
10.41,0.0355230731136631,0.225594610929247
10.45,0.0388075207870577,0.203846235827979
10.49,0.00902473285461936,0.151385794900079
10.53,-0.011371092355275,0.112573597356389
10.57,0.00836344190260174,0.119738051299854
10.61,0.080040822852665,0.182099294433178
10.65,0.174259640441882,0.283397775855349
10.69,0.266168428116432,0.392997537153707
10.73,0.330173279629384,0.4787197832782
10.77,0.338300963732198,0.521166906320627
10.81,0.290940402621254,0.519504788368175
10.85,0.211251614321219,0.491049638741905
10.89,0.120794028532706,0.460637761847343
10.93,0.0452098303662396,0.450133854468433
10.97,-0.0074631669032259,0.469717533849862
11.01,-0.0387221180489958,0.513372985389792
11.05,-0.0643225480672833,0.562931381574186
11.09,-0.105442066986356,0.594197045209704
11.13,-0.178944360854062,0.589626157707101
11.17,-0.290681297779031,0.541580841874897
11.21,-0.433525220144789,0.454395781432963
11.25,-0.571437032677123,0.369936924113824
11.29,-0.728689545055976,0.210161790942715
11.33,-1.05628595250707,-0.00509238586132899
11.37,-1.02546934415882,0.0168891008259684
11.41,-1.00241101642839,0.0301004779370566
11.45,-1.0195996297151,0.0108375583724927
11.49,-1.05453470411672,-0.0266167259453494
11.53,-1.09567453733275,-0.0745552626104922
11.57,-1.13787981190726,-0.128009200861082
11.61,-1.17416563688108,-0.180439744610103
11.65,-1.19577343242381,-0.223922511280656
11.69,-1.19676767481378,-0.252300644487755
11.73,-1.1770972603109,-0.263957365559401
11.77,-1.14200551119479,-0.262327858669289
11.81,-1.0993793134146,-0.254247966709545
11.85,-1.0257248340716,-0.226834408112333
11.89,-1.05828727148639,-0.276608555904067
11.93,-1.00179228401203,-0.26476801817648
11.97,-0.962576793329733,-0.261839498593214
12.01,-0.931277857168081,-0.265175863663051
12.05,-0.898686526370125,-0.267613501373139
12.09,-0.85733410327135,-0.25780354697799
12.13,-0.803526929571103,-0.233671586817548
12.17,-0.752465400416658,-0.200023372506497
12.21,-0.680636657553918,-0.166631240351328
12.25,-0.613262361854019,-0.134448818475377
12.29,-0.56112280403854,-0.111229071876785
12.33,-0.525151025626651,-0.100493259204231
12.37,-0.502004357566659,-0.100437732476604
12.41,-0.4871705186413,-0.107598796015041
12.45,-0.47700464166088,-0.118687053527008
12.49,-0.470148791577256,-0.132417998689687
12.53,-0.467814731979547,-0.150120123399215
12.57,-0.472944358104813,-0.174919373676156
12.61,-0.488480530519472,-0.209897309156934
12.65,-0.515348220743299,-0.25602604855192
12.69,-0.550984672861448,-0.310737679113531
12.73,-0.589157204717737,-0.367775378080514
12.77,-0.621325072310925,-0.418542810684081
12.81,-0.639169984686105,-0.454607931434647
12.85,-0.63743073950815,-0.47052934782097
12.89,-0.616015560094532,-0.46597699326826
12.93,-0.580576277652202,-0.446316027492479
12.97,-0.5412394824616,-0.421345800503627
13.01,-0.509832071936841,-0.402538513765434
13.05,-0.496484355094411,-0.399665023591227
13.09,-0.50673550681548,-0.417929390594728
13.13,-0.540104627240599,-0.456569833920249
13.17,-0.590580720728417,-0.509375955973711
13.21,-0.611805987614102,-0.528862218601025
13.25,-0.784848073118483,-0.692127826656142
13.29,-0.783299960548351,-0.689323346411114
13.33,-0.785099357977616,-0.676631724140077
13.37,-0.786758204254346,-0.680200947814469
13.41,-0.796356291504087,-0.692416742928744
13.45,-0.815739718174559,-0.706654018912207
13.49,-0.837539325585053,-0.722952987157851
13.53,-0.840184047915375,-0.736789254109209
13.57,-0.894285596773207,-0.743901042111331
13.61,-0.946968776946874,-0.743657145276674
13.65,-0.982028132114603,-0.732341269110409
13.69,-0.977278455477027,-0.706333119942737
13.73,-0.95385703769885,-0.663430644306576
13.77,-0.9135625741051,-0.60612886255015
13.81,-0.840378793067613,-0.540011379279585
13.85,-0.781678215709752,-0.471923822503511
13.89,-0.729391772588964,-0.408428889408788
13.93,-0.668532984906403,-0.352557397782364
13.97,-0.622767774003573,-0.303103169969808
14.01,-0.593860530225465,-0.265524087253654
14.05,-0.57271887977124,-0.234735204875004
14.09,-0.550170015991469,-0.205259144279069
14.13,-0.521072703024878,-0.17377786400225
14.17,-0.483270792305336,-0.138116002171919
14.21,-0.436145595628702,-0.0969157009251163
14.25,-0.379855468483742,-0.0495407554885805
14.29,-0.31504830395273,0.00390737437844901
14.33,-0.243002291209777,0.060092773290215
14.37,-0.169705828211562,0.119792540701226
14.41,-0.112931981901127,0.179809481138243
14.45,-0.0511226368077304,0.235697928885894
14.49,-0.00784594261025706,0.282987417042707
14.53,-0.0180293880363953,0.340546253045376
14.57,0.113989405975189,0.38213226921303
14.61,0.264692008386859,0.405885002603192
14.65,0.352911177778016,0.423856806487589
14.69,0.405681888834899,0.446045199972779
14.73,0.451963049662375,0.479318039766575
14.77,0.50823632058229,0.527043120912685
14.81,0.580255642240076,0.589049448958442
14.85,0.666204085450385,0.661844511499655
14.89,0.759477255137734,0.739280052631722
14.93,0.851551486182343,0.813919767916358
14.97,0.934699607479047,0.879065880400539
15.01,1.00419716899439,0.93078908025338
15.05,1.05957362438505,0.969197292198154
15.09,1.10458185722425,0.998447610619594
15.13,1.14584115435533,1.02541995602233
15.17,1.19048610262664,1.05739601961898
15.21,1.24351413372348,1.09943995263585
15.25,1.30571598114061,1.15235863403042
15.29,1.37298269714631,1.21202911518609
15.33,1.43738674067279,1.27049025835852
15.37,1.48982683065448,1.31859149085358
15.41,1.52340181069602,1.34936749014128
15.45,1.53627799312446,1.36090536052631
15.49,1.53283691373348,1.35749180879548
15.53,1.54837786451907,1.36322586909028
15.57,1.53755767645036,1.35162953040668
15.61,1.52934669034002,1.34804412695546
15.65,1.4755026107926,1.31678360858473
15.69,1.52833082687013,1.36605025486318
15.73,1.5728383943529,1.41600681556258
15.77,1.56716288350435,1.41871182107047
15.81,1.51295368942928,1.37207158449615
15.85,1.41821681975082,1.28297241103867
15.89,1.2989650958444,1.16689398009398
15.93,1.17737368209895,1.04670923338915
15.97,1.07602250344773,0.9456524434247
16.01,1.01021213913695,0.87918819060613
16.05,0.981121925711698,0.848121015915077
16.09,0.974040486725497,0.837102827096087
16.13,0.963130662625092,0.81981523188889
16.17,0.921709391567085,0.769422747938322
16.21,0.834142219754425,0.670421056305776
16.25,0.704258688713909,0.526892286122215
16.29,0.556101506775202,0.36313446890212
16.33,0.425734776949209,0.21544529032516
16.37,0.346656490565463,0.117572262613704
16.41,0.334515832471435,0.0854694326841461
16.45,0.377867287297875,0.108057170711319
16.49,0.439892820862056,0.148918684911806
16.53,0.471827310838338,0.159689644564311
16.57,0.433758179801523,0.100829746739316
16.61,0.314625449592962,-0.0383920637352064
16.65,0.142432954684322,-0.229691163457704
16.69,-0.0213853758235243,-0.411400189912481
16.73,-0.103617878547207,-0.51011693077066
16.77,-0.107315853885506,-0.486443428677699
16.81,0.229404751707828,-0.268363381484084
16.85,0.510921635386926,-0.0161691249669169
16.89,0.685188325916115,0.203579951677397
16.93,0.703679673055777,0.252502650842021
16.97,0.457865716963502,0.00384043866542605
17.01,-0.212967093147473,-0.642070451779805
17.05,-1.19239814826208,-1.61169412263859
17.09,-1.5954146266082,-2.58296830204821
17.13,0.505945308355126,-1.55346697836611
17.17,1.86161556185492,0.890338594325284
17.21,0.846597346385489,0.609094172067013
17.25,-0.0200230389339016,-0.0916981263280423
17.29,-0.38769614647514,-0.424633215656204
17.33,-0.362901996444108,-0.388655274771764
17.37,-0.0995029371188281,-0.121654338223337
17.41,0.223439545878626,0.224214639574519
17.45,0.514980562743432,0.53159136747513
17.49,0.731807836281973,0.753372991063884
17.53,0.851988264794312,0.884774166245816
17.57,0.915316875397105,0.960547091156522
17.61,0.97462024520917,1.02900882322382
17.65,1.07219089638144,1.12832671671137
17.69,1.22625639097025,1.27398635209148
17.73,1.43180611444521,1.45915588845519
17.77,1.6706150159501,1.66474742962661
17.81,1.92421463376215,1.872416566731
17.85,2.18284565957036,2.07357421287488
17.89,2.44651277606529,2.27044250498683
17.93,2.71857464782283,2.46956914617819
17.97,2.99608941343865,2.67200739346296
18.01,3.26261892769873,2.86587047880447
18.05,3.48786819526128,3.02565604704788
18.09,3.63514053818031,3.11935323880257
18.13,3.67376812758664,3.12052977948891
18.17,3.59118704487879,3.02010485495471
18.21,3.39926250718645,2.83244274731574
18.25,3.13181747535158,2.59273899786323
18.29,2.83400405164527,2.34634481705156
18.33,2.54756121829479,2.13406787640834
18.37,2.29850725504918,1.96699243781581
18.41,2.15179519372091,1.91374261520475
18.45,1.94144917093714,1.82986706052352
18.49,1.70209585808327,1.74660302092293
18.53,1.41629926457921,1.63560689902288
18.57,1.11532607462204,1.49676499790905
18.61,0.790182409274192,1.31753944733459
18.65,0.44652246192203,1.10904456150798
18.69,0.106758403550955,0.89461822942799
18.73,-0.204853642575942,0.697485550766763
18.77,-0.474241209796146,0.530042290014153
18.81,-0.701442199699423,0.39038995041801
18.85,-0.897770859757159,0.265408630795953
18.89,-1.0784402757056,0.138427580953706
18.93,-1.25442135764145,-0.00236792238697081
18.97,-1.42685165436214,-0.158238099767403
19.01,-1.58611714870465,-0.319013715082633
19.05,-1.71579305581519,-0.467160612299498
19.09,-1.79968190087311,-0.584989742652987
19.13,-1.8289235651154,-0.661941780129649
19.17,-1.80615814546472,-0.69883977258536
19.21,-1.74501867676041,-0.707370653661493
19.25,-1.66522328690845,-0.705173654391615
19.29,-1.58532893706094,-0.708681049931787
19.33,-1.51606968044167,-0.726575879436104
19.37,-1.45686387872192,-0.756357820990502
19.41,-1.39676113782671,-0.78529130124449
19.45,-1.31936763825951,-0.79533353684052
19.49,-1.20980020406005,-0.770110909570927
19.53,-1.06101234490304,-0.701263897278272
19.57,-0.877139637828529,-0.591794727193052
19.61,-0.672675644675389,-0.455237005505824
19.65,-0.467850288326071,-0.311028400823526
19.69,-0.281952963301405,-0.177829722685144
19.73,-0.120256338422504,-0.0601224477933049
19.77,-0.0207537298095453,0.0116202297480292
19.81,0.0876111794471255,0.0744835901515115
19.85,0.189050489807453,0.162275204960384
19.89,0.299029042957946,0.269591541696892
19.93,0.428136591697361,0.398786647067142
19.97,0.580871731754083,0.559196028861507
20.01,0.74975575451634,0.742973510356721
20.05,0.91813499093768,0.931571752887439
20.09,1.06605553225993,1.10375634804695
20.13,1.17680886108652,1.24210590362507
20.17,1.24231944761921,1.33781710556402
20.21,1.26565966982623,1.39249742457432
20.25,1.26009307810813,1.41729396543664
20.29,1.24411012998959,1.42770213069276
20.33,1.23826582302738,1.44466723652742
20.37,1.25741776101024,1.48056916678763
20.41,1.30594960163719,1.53821348079725
20.45,1.37663477619559,1.60853766177833
20.49,1.45724165866774,1.67789741982667
20.53,1.53017428966458,1.74133798633188
20.57,1.58831178530536,1.73933603736784
20.61,1.61275185237034,1.69986478104314
20.65,1.60534153864683,1.62874126712504
20.69,1.58079627389649,1.53963185453552
20.73,1.55905742374767,1.45166095473531
20.77,1.55927422053234,1.38431613063214
20.81,1.59278365842772,1.35066270253434
20.85,1.65870270219109,1.35194614472671
20.89,1.74356631470026,1.37697303111969
20.93,1.82575012507554,1.40618209669082
20.97,1.88339919844539,1.41942601215218
21.01,1.90305923510139,1.40452704800711
21.05,1.88555540180824,1.36312982275344
21.09,1.84632512187188,1.31103687788836
21.13,1.80935721601273,1.27216136979304
21.17,1.79649621232042,1.2678580256284
21.21,1.81614551482673,1.30567222300298
21.25,1.85630187611875,1.37244560414098
21.29,1.88575943844071,1.43561301221773
21.33,1.86438061501027,1.45357578932016
21.37,1.75951895757627,1.39222177899785
21.41,1.56250634707376,1.24149323721521
21.45,1.29805495005116,1.02484799673715
21.49,1.02126132549816,0.796301028636349
21.53,0.801296165733121,0.624132350155258
21.57,0.696332448664418,0.565817615581179
21.61,0.728650981383922,0.643124073912155
21.65,0.87017022178822,0.827622088313957
21.69,1.04591405341964,1.04412864938613
21.73,1.13830513083734,1.16151697470656
21.77,1.30297205380626,1.32950515389219
21.81,1.03597378414215,1.0935848933276
21.85,0.567005313994604,0.67352699936922
21.89,0.12001338635887,0.261485918474697
21.93,-0.274538044009917,-0.087041985801692
21.97,-0.435971792845863,-0.188719018049327
22.01,-0.127765067605211,0.159374522517509
22.05,0.626398550111697,0.925197915166644
22.09,1.10254062811216,1.56267859973952
22.13,-0.00883679186987918,0.599420264417208
22.17,-1.9850070433951,-1.63779247367257
22.21,-1.31672576857547,-1.26712532868237
22.25,-0.30730694094005,-0.232194061863472
22.29,0.38240952100783,0.482576672003752
22.33,0.697489987242545,0.811798944617731
22.37,0.732239854843297,0.858234204787611
22.41,0.617243952305369,0.751340479538765
22.45,0.457550426127463,0.595648221175717
22.49,0.31690509434725,0.454350851056626
22.53,0.221527173820427,0.353958891696785
22.57,0.176133676920845,0.300349553141313
22.61,0.181453550074377,0.295727920502923
22.65,0.242867431028926,0.346473971362626
22.69,0.365505915238722,0.45787834877649
22.73,0.539019218829609,0.619266688991829
22.77,0.721500535354907,0.788545307768723
22.81,0.83355777272015,0.886584634150866
22.85,0.769723269865588,0.80847095292326
22.89,0.426857740193922,0.451580918609542
22.93,-0.258937876111988,-0.247661599435135
22.97,-1.28527395474734,-1.27994100086884
23.01,-2.54817691015927,-2.55535006880412
23.05,-2.26697944617777,-2.63897377430994
23.09,-0.205763164123525,-1.06120828728368
23.13,0.717241471318308,0.750544148050158
23.17,-0.00812946171446871,0.224518988678923
23.21,-0.508020510166343,-0.243447807637789
23.25,-0.582815289341741,-0.333225111967049
